rating_star,cmtid,itemid,name,comment,clean_cmt
1,13308791331,20886173259,Áo Khoác Len Kiểu Tay Dài Cổ V Phối Thêu Ngựa Siêu Xinh Phong Cách Nhẹ Nhàng Hàng Qccc Phù Hợp Mọi Lứa Tuổi Orange,"Mua áo khoát cardigan kèm theo cả link sp để đánh giá :) , mặc dù ko mua cũng ko được tặng :) , 1 sao để phòng trường hợp các shop đổi sản phẩm để lấy số lượng & bão 5 sao :)",mua áo khoát cardigan kèm theo cả link sản_phẩm để đánh_giá <emoji> happy face or smiley </emoji> mặc_dù không mua cũng không được tặng <emoji> happy face or smiley </emoji> một sao để phòng trường_hợp các shop đổi sản_phẩm để lấy số_lượng bão năm sao <emoji> happy face or smiley </emoji>
1,13241176282,20682429404,"Quần Jean Nữ Ống Loe To Co giãn Lưng cao,Quần Bò Nữ Loe Cạp Cao TDSHOP Dáng Loe Ôm Chất Liệu Denim Không Phai Size SML","Chất liệu:mỏng
Đúng với mô tả:gần đúng
Màu sắc:xanh nhạt",chất_liệu mỏng đúng với mô_tả gần đúng màu_sắc xanh nhạt
1,13287131014,22151497601,"Quần Jeans Nữ Ống Loe , Quần Bò Nữ Ống Loe Tua Rua Gấu TL09","Đúng với mô tả:khong dung
Chất liệu:vải
Màu sắc:xau

Trên hình là màu xanh giao màu khác là sao vậy. Màu cũ rình cũ rích vậy shop.",đúng với mô_tả khong dung chất_liệu vải màu_sắc xau trên hình là màu xanh giao màu khác là sao vậy màu cũ rình cũ_rích vậy shop
1,12316483825,23970387156,Quần jeans ống loe màu bạc lưng cao co giãn hack dáng,May bị lỗi đước quấn lệch qua một bên,may bị lỗi đước quấn lệch qua một bên
1,12583905239,17695861884,"Áo khoác Nỉ Crotop Hàn dáng rộng siêu xinh , Áo Sweater Nỉ Dài Tay ( có bigsize)","K biết luôn, k có giao cái này. Nên ko nhận xét được",không biết luôn không có giao cái này nên không nhận_xét được
1,12467199872,19872577573,Quần Suông Nữ Dáng Dài Ống Rộng Lưng Cao Thun Gân Tăm Thời Trang Sugal QUAN NU 043,"Màu sắc:trắng
Chất liệu:vải mềm
Đúng với mô tả:yep

Tôi mua trắng nói thật nhìn ngoài quần đẹp vl mà bận vào thì lộ hết nội y nên mua đen vs nâu nhá",màu_sắc trắng chất_liệu vải mềm đúng với mô_tả yep tôi mua trắng nói thật nhìn ngoài quần đẹp vl mà bận vào thì lộ hết nội_y nên mua đen với nâu nhá
1,13290030680,23200225983,áo khoác nỉ hoodie form rộng mũ 2 màu in logo phong cách hàn quốc CAMASTORE M451,"Đúng với mô tả:sai hoàn toàn

mk đặt áo này shop cho mk áo kia chán mất uy tín",đúng với mô_tả sai hoàn_toàn mk đặt áo này shop cho mk áo kia chán mất uy_tín
1,10728917909,23208278966,Áo nỉ nữ polo khóa cổ dài tay form rộng in chữ phong cách Hàn Quốc CAMASTORE M490,"Chất liệu:vải mỏng
Màu sắc:không giống ảnh

vải mặc rất nóng áo quá rộng màu kh giống trong ảnh màu rất xấu",chất_liệu vải mỏng màu_sắc không giống ảnh vải mặc rất nóng áo quá rộng màu không giống trong ảnh màu rất xấu
1,13304917812,19082573960,Áo Khoác Hoodie Zip Chất Nỉ Bông Mũ 2 Lớp In Chữ BLANCE 336,Chưa dc,chưa được
1,12845922241,18076544574,[ Rẻ Vô Địch ] Áo Khoác Nỉ Nam Nữ Form Rộng Tay Lỡ Unisex chữ,"Vải mỏng lắm nha mn, không mặc tránh rét được đâu. Dáng áo cũng không đẹp kiểu ôm người quá ý",vải mỏng lắm nha mọi người không mặc tránh rét được đâu dáng áo cũng không đẹp kiểu ôm người quá ý
1,13226421942,23200225983,áo khoác nỉ hoodie form rộng mũ 2 màu in logo phong cách hàn quốc CAMASTORE M451,"Chất liệu:mỏng
Đúng với mô tả:không
Màu sắc:đen

Bé cực kì luôn trẻ 7 tuổi có khi mặc vừa đấy chứ ở đấy mà freesize >55kg mua của shop này là 1 cái tội đấy 
Lạy shop mua 3 đơn cả 3 đều bé tí 3 đơn 
Thề với mọi người là mua rất nhiều đơn rồi nhưng đơn nào cũng bé tí xem trên live thì đẹp lắm rộng lắm nhưng sự thật thì không",chất_liệu mỏng đúng với mô_tả không màu sắc đen bé cực_kì luôn trẻ bảy tuổi có_khi mặc vừa đấy chứ ở đấy mà freesize 55 không mua của shop này là một cái tội đấy lạy shop mua ba đơn cả ba đều bé tí ba đơn thề với mọi người là mua rất nhiều đơn rồi nhưng đơn nào cũng bé tí xem trên live thì đẹp lắm rộng lắm nhưng sự_thật thì không
1,13049321785,18267407427,ÁO TRỄ VAI NGANG GÂN XẺ TRƯỚC ĐỎ TẾT TƯƠI MỚI TUTU2,"Chất liệu:khong tot
Màu sắc:đúng
Đúng với mô tả:không

mua 3 cái áo nhưng 2 cái chất liệu khác hẳn 1 cái còn lại quá thất vọng 
ai có ý định mua thì nên mua màu trắng thôi",chất_liệu khong tot màu_sắc đúng đúng với mô_tả không mua ba cái áo nhưng hai cái chất_liệu khác hẳn một cái còn lại quá thất_vọng ai có ý_định mua thì nên mua màu trắng thôi
1,12263965064,19776807429,Quần Ống Rộng Túi Vuông Cơi Trước Dây Nơ Cách Điệu 2 Hông Siêu Hot. M899,"Chất liệu:cung tam tam
Màu sắc:naau

Mình mua sz S bị chật eo có ai sz M bị rộng đổi với mình ko quần new tag luôn ak kp zalo 0903126367",chất_liệu cung tam tam màu_sắc naau mình mua sz sao bị chật eo có ai sz m bị rộng đổi với mình không quần new tag luôn ak kp zalo 0903126367
1,12944256488,18281471951,Tất Nam Châm Hình Đôi Mắt Hoạt Hình Xinh Xắn Cho Cặp Đôi,"Ko hút nam chân má ơi. Tốn tiền quá nma cũng cute 
Mỏng lắm ạ hic hic 
Ko
Hình ảnh mang tính chất nhận xu thôi nha.",không hút nam chân má ơi tốn tiền quá nma cũng cute mỏng lắm ạ hic hic không hình_ảnh mang tính_chất nhận xu thôi nha
1,13174517587,23208278966,Áo nỉ nữ polo khóa cổ dài tay form rộng in chữ phong cách Hàn Quốc CAMASTORE M490,"Màu sắc:mua maù xanh lại giao đen
Đúng với mô tả:xấu
Chất liệu:quá xấu

Hàng quá xấu thế mà cũng bán đc",màu_sắc mua màu xanh lại giao đen đúng với mô_tả xấu chất_liệu quá xấu hàng quá xấu thế_mà cũng bán đc
1,13194841418,1592182206,Áo len tăm cổ 3 phân (quảng châu),Áo bị loang màu,áo bị loang màu
1,13252317041,23849591308,Quần bò jean nữ ống loe co giãn jeans cạp cao cao cấp jeanshop_0603,Chưa giao hàng đã hiện giao hàng thành công,chưa giao hàng đã hiện giao hàng thành_công
